IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.117.198,2086,2086,false,SIN,Asia Pacific,Singapore,265,9.03
8.219.124.227,2082,2082,false,SIN,Asia Pacific,Singapore,239,8.87
8.219.111.175,2052,2052,false,SIN,Asia Pacific,Singapore,449,8.85
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,237,8.82
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,252,8.81
8.219.98.13,8880,8880,false,SIN,Asia Pacific,Singapore,254,8.81
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,277,8.80
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,251,8.79
47.236.164.215,80,80,false,SIN,Asia Pacific,Singapore,240,8.74
8.219.40.37,8080,8080,false,SIN,Asia Pacific,Singapore,276,8.73
8.222.183.242,80,80,false,SIN,Asia Pacific,Singapore,261,8.72
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,254,8.70
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,251,8.68
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,297,8.66
47.236.164.215,2052,2052,false,SIN,Asia Pacific,Singapore,413,8.66
47.236.145.85,8880,8880,false,SIN,Asia Pacific,Singapore,287,8.64
8.219.111.175,80,80,false,SIN,Asia Pacific,Singapore,259,8.62
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,542,8.62
8.219.0.162,2086,2086,false,SIN,Asia Pacific,Singapore,252,8.61
8.219.191.110,80,80,false,SIN,Asia Pacific,Singapore,244,8.61
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,250,8.60
47.237.92.26,2082,2082,false,SIN,Asia Pacific,Singapore,255,8.60
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,587,8.58
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,241,8.57
8.219.97.50,80,80,false,SIN,Asia Pacific,Singapore,282,8.57
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,307,8.57
8.219.4.122,2082,2082,false,SIN,Asia Pacific,Singapore,246,8.56
8.219.248.47,2052,2052,false,SIN,Asia Pacific,Singapore,580,8.53
8.219.174.213,2095,2095,false,SIN,Asia Pacific,Singapore,257,8.51
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,420,8.50
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,240,8.49
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,259,8.47
8.219.97.50,2052,2052,false,SIN,Asia Pacific,Singapore,281,8.46
47.236.10.100,8080,8080,false,SIN,Asia Pacific,Singapore,237,8.45
47.237.94.140,2086,2086,false,SIN,Asia Pacific,Singapore,262,8.44
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,240,8.43
8.219.220.88,2086,2086,false,SIN,Asia Pacific,Singapore,264,8.41
8.219.78.188,80,80,false,SIN,Asia Pacific,Singapore,246,8.41
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,248,8.40
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,254,8.40
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,240,8.40
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,287,8.39
8.219.132.64,8880,8880,false,SIN,Asia Pacific,Singapore,288,8.39
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,258,8.38
8.219.210.57,2052,2052,false,SIN,Asia Pacific,Singapore,267,8.37
47.236.150.13,2082,2082,false,SIN,Asia Pacific,Singapore,241,8.37
47.236.158.158,2082,2082,false,SIN,Asia Pacific,Singapore,364,8.36
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,259,8.36
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,252,8.35
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,236,8.34
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,285,8.34
8.219.97.50,8080,8080,false,SIN,Asia Pacific,Singapore,598,8.33
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,263,8.32
8.219.110.81,2086,2086,false,SIN,Asia Pacific,Singapore,258,8.32
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,473,8.31
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,583,8.30
8.219.113.232,2095,2095,false,SIN,Asia Pacific,Singapore,600,8.29
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,280,8.29
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,324,8.28
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,487,8.28
8.222.180.86,8880,8880,false,SIN,Asia Pacific,Singapore,242,8.28
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,382,8.28
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,250,8.28
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,241,8.28
47.236.237.90,8080,8080,false,SIN,Asia Pacific,Singapore,243,8.26
8.219.107.135,2052,2052,false,SIN,Asia Pacific,Singapore,289,8.26
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,268,8.26
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,327,8.26
47.245.126.151,2052,2052,false,SIN,Asia Pacific,Singapore,495,8.25
8.219.248.47,2095,2095,false,SIN,Asia Pacific,Singapore,265,8.23
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,244,8.23
8.219.11.158,80,80,false,SIN,Asia Pacific,Singapore,251,8.23
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,648,8.23
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,611,8.22
8.219.210.57,2086,2086,false,SIN,Asia Pacific,Singapore,254,8.22
47.236.146.249,8080,8080,false,SIN,Asia Pacific,Singapore,481,8.20
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,244,8.20
8.219.4.122,2086,2086,false,SIN,Asia Pacific,Singapore,600,8.19
8.219.50.180,2095,2095,false,SIN,Asia Pacific,Singapore,243,8.19
8.219.142.191,2086,2086,false,SIN,Asia Pacific,Singapore,259,8.18
8.222.160.176,2086,2086,false,SIN,Asia Pacific,Singapore,244,8.18
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,260,8.18
8.219.100.168,2095,2095,false,SIN,Asia Pacific,Singapore,308,8.17
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,262,8.16
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,251,8.16
47.237.95.146,8080,8080,false,SIN,Asia Pacific,Singapore,288,8.16
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,573,8.15
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,258,8.15
8.219.86.200,8880,8880,false,SIN,Asia Pacific,Singapore,254,8.13
8.219.83.71,2082,2082,false,SIN,Asia Pacific,Singapore,424,8.12
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,442,8.11
8.219.42.72,2086,2086,false,SIN,Asia Pacific,Singapore,382,8.10
8.219.0.48,2053,2053,true,SIN,Asia Pacific,Singapore,485,8.09
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,281,8.09
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,491,8.08
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,254,8.08
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,265,8.08
8.222.165.117,2082,2082,false,SIN,Asia Pacific,Singapore,371,8.06
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,284,8.06
8.219.42.72,8880,8880,false,SIN,Asia Pacific,Singapore,247,8.06
8.219.49.65,2053,2053,true,SIN,Asia Pacific,Singapore,346,8.06
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,422,8.06
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,473,8.05
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,255,8.04
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,367,8.03
8.222.144.50,2095,2095,false,SIN,Asia Pacific,Singapore,283,8.03
8.222.249.190,8880,8880,false,SIN,Asia Pacific,Singapore,463,8.02
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,285,8.01
8.219.161.129,2082,2082,false,SIN,Asia Pacific,Singapore,322,8.01
8.222.156.242,2087,2087,true,SIN,Asia Pacific,Singapore,629,8.00
